id,nome,siglaPartido,siglaUf,idLegislatura,PL 2337/21,PLP 19/19,PL 591/2021,PL 3729/04,PL 3723/19,PEC 06/2019,PEC 125/2011,MP 1045/21,MP 1031/21,PL 10372/18,PEC 135/19,PEC 241/2016
160588,Diego Andrade,PSD,MG,56,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0
178929,Diego Garcia,PODE,PR,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
160599,Dimas Fabiano,PP,MG,56,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,1.0,1.0
143632,Domingos Neto,PSD,CE,56,0.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0
160758,Domingos Sávio,PSDB,MG,56,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
213854,Dr. Agripino Magalhães,PROS,CE,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
204518,Dr. Frederico,PATRIOTA,MG,56,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5
212625,Dr. Gonçalo,REPUBLICANOS,MA,56,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5
204481,Dr. Jaziel,PL,CE,56,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
213679,Dr. João,PROS,BA,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
204439,Dr. Leonardo,SOLIDARIEDADE,MT,56,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5
204450,Dr. Luiz Antonio Teixeira Jr.,PP,RJ,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5
204351,Dr. Luiz Ovando,PSL,MS,56,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5
178830,Dr. Sinval Malheiros,PODE,SP,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
204412,Dr. Zacharias Calil,DEM,GO,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
81297,Dra. Soraya Manato,PSL,ES,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
204434,Dra. Vanda Milani,SOLIDARIEDADE,AC,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
178994,Dulce Miranda,MDB,TO,56,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,1.0
204562,Edilázio Júnior,PSD,MA,56,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5
141417,Edio Lopes,PL,RR,56,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.0,1.0
134812,Edmilson Rodrigues,PSOL,PA,56,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5
204421,Edna Henrique,PSDB,PB,56,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5
74655,Eduardo Barbosa,PSDB,MG,56,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0
204541,Eduardo Bismarck,PDT,CE,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5
92346,Eduardo Bolsonaro,PSL,SP,56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0
204552,Eduardo Braide,PODE,MA,56,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5
204500,Eduardo Costa,PTB,PA,56,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5
178977,Eduardo Cury,PSDB,SP,56,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0
141421,Eduardo da Fonte,PP,PE,56,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0
141422,Efraim Filho,DEM,PB,56,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
74075,Elcione Barbalho,MDB,PA,56,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0
204364,Eli Borges,SOLIDARIEDADE,TO,56,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
160532,Eli Corrêa Filho,DEM,SP,56,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5
204389,Elias Vaz,PSB,GO,56,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5
178854,Elmar Nascimento,DEM,BA,56,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0
218086,Ely Santos,REPUBLICANOS,SP,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
198783,Emanuel Pinheiro Neto,PTB,MT,56,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
161550,Emidinho Madeira,PSB,MG,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5
207309,Enéias Reis,PSL,MG,56,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5
132504,Enio Verri,PT,PR,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0
204537,Enrico Misasi,PV,SP,56,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
160575,Erika Kokay,PT,DF,56,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160640,Eros Biondini,PROS,MG,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
204482,Euclydes Pettersen,PSC,MG,56,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
178871,Evair Vieira de Melo,PP,ES,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178953,Expedito Netto,PSD,RO,56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
211866,Fabiano Tolentino,CIDADANIA,MG,56,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5
141428,Fábio Faria,PSD,RN,56,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
68720,Fábio Henrique,PDT,SE,56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5
178969,Fábio Mitidieri,PSD,SE,56,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.5
141427,Fábio Ramalho,MDB,MG,56,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0
171623,Fabio Reis,MDB,SE,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0
204368,Fabio Schiochet,PSL,SC,56,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
160587,Fábio Trad,PSD,MS,56,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
66828,Fausto Pinato,PP,SP,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
